english,chinese,definition
ground truth,真實標籤,數據的真實或標準答案
annotation,標註,為數據添加標籤或元數據的過程
data leakage,數據洩漏,訓練數據意外包含測試數據信息的問題
class imbalance,類別不平衡,不同類別樣本數量顯著不同的情況
sampling,採樣,從總體中選擇子集的過程
upsampling,上採樣,增加少數類別樣本數量的技術
downsampling,下採樣,減少多數類別樣本數量的技術
SMOTE,SMOTE,合成少數類過採樣技術
time series forecasting,時間序列預測,基於過去觀測預測未來值的任務
anomaly detection,異常檢測,識別異常數據點或模式的任務
clustering,聚類,將相似數據點分組的無監督學習任務
segmentation,分割,將數據（如圖像）分割為不同部分的技術
classification,分類,將數據分配到預定義類別的任務
regression,迴歸,預測連續輸出值的任務
one-hot encoding,獨熱編碼,將分類變量轉換為二進制向量的方法
word embedding,詞嵌入,將單詞表示為向量的技術
Word2Vec,Word2Vec,基於上下文學習詞嵌入的技術
GloVe,GloVe,基於共現統計學習詞嵌入的技術
TF-IDF,TF-IDF,基於詞頻-逆文檔頻率的文本表示方法
bag-of-words,詞袋模型,基於詞頻的文本表示方法
n-gram,n元語法,連續n個單詞或字符的序列
stemming,詞幹提取,將單詞簡化為詞幹的過程
lemmatization,詞形還原,將單詞簡化為詞元的過程
entity recognition,實體識別,識別文本中命名實體的任務
sentiment analysis,情感分析,從文本中確定情感極性的任務
ensemble learning,集成學習,組合多個模型預測的技術
bagging,袋裝法,訓練多個並行模型並平均其預測的技術
boosting,提升法,按順序訓練模型以糾正之前錯誤的技術
random forest,隨機森林,基於決策樹的集成方法
gradient boosting,梯度提升,使用梯度下降逐步改進模型的提升方法
XGBoost,XGBoost,高效的梯度提升庫
LightGBM,LightGBM,高效的梯度提升實現
CatBoost,CatBoost,處理分類特徵的梯度提升實現
decision tree,決策樹,基於特徵做決策的樹狀模型
support vector machine,支持向量機,尋找最大間隔超平面的分類算法
k-nearest neighbors,k最近鄰,基於最相似訓練樣本的分類或回歸算法
naive Bayes,樸素貝葉斯,基於貝葉斯定理的分類算法
logistic regression,邏輯迴歸,用於二分類的統計模型
linear regression,線性迴歸,預測連續輸出的統計模型
activation function,激活函數,引入神經網絡非線性的函數
ReLU,ReLU,修正線性單元激活函數
sigmoid,Sigmoid,S形激活函數，範圍為(0-1)
tanh,雙曲正切,S形激活函數，範圍為(-1-1)
softmax,Softmax,將向量轉換為概率分佈的函數
LSTM,長短期記憶網絡,處理序列數據的特殊循環神經網絡
GRU,門控循環單元,簡化版的LSTM
RNN,循環神經網絡,處理序列數據的神經網絡類型
CNN,卷積神經網絡,處理網格數據（如圖像）的神經網絡類型
convolution,卷積,使用過濾器提取特徵的數學運算
pooling,池化,減少特徵圖維度的下採樣操作
max pooling,最大池化,提取區域最大值的池化操作
average pooling,平均池化,計算區域平均值的池化操作
fully connected layer,全連接層,每個神經元連接到前一層所有神經元的層
residual connection,殘差連接,將輸入添加到層輸出的連接
skip connection,跳躍連接,連接非相鄰層的路徑
inception module,Inception模塊,使用不同大小卷積的並行路徑的網絡模塊
bottleneck layer,瓶頸層,減少計算量的低維層
model checkpoint,模型檢查點,訓練期間保存的模型狀態快照
pre-training,預訓練,在特定任務前進行的通用訓練階段
post-training quantization,訓練後量化,在模型訓練後應用的量化技術
quantization-aware training,量化感知訓練,在訓練期間考慮量化效果的技術
transfer learning,遷移學習,將一個任務學到的知識應用到新任務的技術
domain adaptation,領域適應,適應不同數據分布的技術
multi-task learning,多任務學習,同時學習多個相關任務的方法
federated learning,聯邦學習,在分散設備上協作訓練而不共享原始數據的方法
active learning,主動學習,選擇性請求標記最有價值數據點的學習策略
meta-learning,元學習,學習如何學習的方法
few-shot learning,少樣本學習,從少量標記示例學習的能力
explainable AI,可解釋人工智能,使AI系統決策過程可理解的方法
interpretability,可解釋性,理解模型行為和預測的能力
black-box model,黑盒模型,內部工作方式不透明的模型
feature importance,特徵重要性,衡量特徵對模型預測影響的度量
LIME,LIME,用於解釋模型預測的局部可解釋近似方法
SHAP,SHAP,基於博弈論的模型解釋方法
adversarial example,對抗樣本,設計用於欺騙模型的輸入
adversarial training,對抗訓練,使用對抗樣本訓練以增強模型魯棒性的方法
data poisoning,數據投毒,通過操縱訓練數據損害模型性能的攻擊
model inversion,模型反轉,從模型還原訓練數據的攻擊
model stealing,模型竊取,複製黑盒模型功能的攻擊
privacy-preserving machine learning,隱私保護機器學習,保護數據隱私的機器學習方法
differential privacy,差分隱私,提供數學隱私保證的框架
homomorphic encryption,同態加密,允許對加密數據進行計算的加密技術
synthetic data,合成數據,人工生成模仿真實數據特性的數據
data augmentation,數據增強,通過修改現有數據創建新訓練示例的技術
curriculum learning,課程學習,按難度增加順序呈現訓練樣本的策略
self-supervised learning,自監督學習,從未標記數據中創建監督信號的學習方法
contrastive learning,對比學習,學習區分相似和不相似樣本的方法
generative adversarial network,生成對抗網絡,包含生成器和判別器的生成模型架構
variational autoencoder,變分自編碼器,生成潛在變量模型的自編碼器
diffusion model,擴散模型,通過逐步添加和移除噪聲生成數據的模型
flow-based model,基於流的模型,使用可逆變換的生成模型
autoencoder,自編碼器,學習壓縮表示的無監督學習模型
knowledge graph,知識圖譜,表示實體間關係的網絡結構
graph neural network,圖神經網絡,處理圖結構數據的神經網絡
node embedding,節點嵌入,將圖中節點映射到向量空間的技術
message passing,消息傳遞,圖神經網絡中的信息傳播機制
reinforcement learning from human feedback,基於人類反饋的強化學習,使用人類評價優化模型的方法
prompt tuning,提示調整,優化連續提示向量而非模型權重的方法
prefix tuning,前綴調整,在預訓練模型輸入添加可訓練向量的微調方法
LoRA,LoRA,低秩自適應參數微調方法
PEFT,參數高效微調,使用少量可訓練參數微調大型模型的方法
instruction tuning,指令微調,使模型遵循指令的微調方法
constitutional AI,憲法式人工智能,通過描述AI應遵循的原則指導模型行為的方法
alignment,對齊,使AI系統行為與人類意圖和價值觀一致的過程
reward model,獎勵模型,學習對模型輸出質量進行評分的模型
RLHF,基於人類反饋的強化學習,使用人類反饋作為獎勵信號的強化學習方法
LLM,大型語言模型,規模較大的自然語言處理模型
hallucination,幻覺,模型生成看似合理但實際不準確的內容
tokenizer,標記器,將文本分割成標記的工具
context window,上下文窗口,模型能處理的輸入標記數量
temperature,溫度,控制生成文本隨機性的參數
top-k sampling,Top-K採樣,從概率最高的K個標記中採樣的方法
top-p sampling,Top-P採樣,從累積概率超過P的標記子集中採樣的方法
beam search,束搜索,在解碼時保留多個候選序列的搜索算法
greedy decoding,貪婪解碼,在每一步選擇最高概率標記的解碼方法
perplexity,困惑度,評估語言模型性能的指標
BLEU score,BLEU分數,評估機器翻譯質量的指標
ROUGE score,ROUGE分數,評估摘要質量的指標
chain-of-thought,思維鏈,通過中間推理步驟改進模型推理的提示技術
few-shot prompting,少樣本提示,在提示中包含少量示例的技術
zero-shot prompting,零樣本提示,無需示例的推理能力
text-to-image,文本到圖像,從文本描述生成圖像的模型
text-to-video,文本到視頻,從文本描述生成視頻的模型
text-to-speech,文本到語音,將文本轉換為口語的技術
speech-to-text,語音到文本,將口語轉換為文本的技術
OCR,光學字符識別,從圖像提取文本的技術
MoE,專家混合,將輸入路由到專門子網絡的模型架構
parameter,參數,模型中可學習的權重
foundation model,基礎模型,在大量數據上預訓練的大型模型
multimodal model,多模態模型,處理多種數據類型的模型
agent,智能體,能自主執行任務的AI系統
model distillation,模型蒸餾,將大模型知識轉移到小模型的技術
mixture of experts,專家混合,由多個專家網絡組成的模型架構
multi-head attention,多頭注意力,並行計算多個注意力權重的機制
contextual embedding,上下文嵌入,根據上下文生成的詞表示
position embedding,位置嵌入,編碼序列中token位置信息的技術
retrieval-augmented generation,檢索增強生成,通過外部知識增強生成質量的技術
semantic similarity,語義相似度,衡量文本含義相似程度的度量
text summarization,文本摘要,生成文本關鍵信息摘要的任務
question answering,問答,根據上下文回答問題的任務
information retrieval,信息檢索,從大量數據中檢索相關信息的技術
reasoning,推理,從給定信息得出邏輯結論的能力
inductive bias,歸納偏置,模型架構中的假設和限制
catastrophic forgetting,災難性遺忘,新學習任務干擾之前學到知識的現象
